id,name,provider,intelligence_score,intelligence_score_norm,price_input,price_output,price_norm,speed_tokens_per_sec,speed_norm,ttft_latency,context_window,context_norm,license_type,source,collected_at
21,deepseek-ai/DeepSeek-R1-0528,deepseek-ai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.878722
22,xai-org/grok-1,xai-org,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.879085
23,meta-llama/Llama-3.2-1B,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.879460
24,moonshotai/Kimi-K2-Instruct,moonshotai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.879839
25,meta-llama/Llama-2-7b-hf,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.880225
26,microsoft/VibeVoice-1.5B,microsoft,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.880590
27,microsoft/phi-4,microsoft,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.880949
28,meta-llama/Llama-2-70b-chat-hf,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.881353
29,meta-llama/Llama-3.1-8B,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.881714
30,meta-llama/Llama-3.2-3B-Instruct,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.882063
31,nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,nvidia,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.882445
32,Qwen/Qwen2.5-Coder-32B-Instruct,Qwen,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.882801
33,zai-org/GLM-4.7,zai-org,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.883142
34,zai-org/GLM-5,zai-org,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.883478
35,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.883805
36,mistralai/Mistral-7B-Instruct-v0.1,mistralai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.884154
37,CohereLabs/c4ai-command-r-plus,CohereLabs,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.884519
38,Qwen/QwQ-32B-Preview,Qwen,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.884880
39,mattshumer/Reflection-Llama-3.1-70B,mattshumer,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.885232
40,microsoft/Phi-3-mini-128k-instruct,microsoft,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.885583
41,moonshotai/Kimi-K2-Thinking,moonshotai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.885971
42,zai-org/GLM-4.7-Flash,zai-org,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.886359
43,microsoft/Phi-4-multimodal-instruct,microsoft,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.886780
44,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.887128
45,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-ai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.887482
46,EleutherAI/gpt-j-6b,EleutherAI,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.887848
47,meta-llama/Meta-Llama-3-70B-Instruct,meta-llama,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.888213
48,MiniMaxAI/MiniMax-M2,MiniMaxAI,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.888562
49,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.888938
50,microsoft/bitnet-b1.58-2B-4T,microsoft,,,,,,,,,,,Unknown,HuggingFace,2026-03-28 11:58:26.889239
51,GPT-4o,OpenAI,73.0,83.33,2.5,10.0,82.91,109.0,41.61,0.49,128000.0,12.1,Proprietary,ArtificialAnalysis,2026-03-28 11:59:32.997148
52,GPT-4o-mini,OpenAI,61.0,43.33,0.15,0.6,2.56,98.0,33.58,0.43,128000.0,12.1,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.000417
53,Claude-3.5-Sonnet,Anthropic,78.0,100.0,3.0,15.0,100.0,87.0,25.55,0.72,200000.0,19.35,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.000839
54,Claude-3-Haiku,Anthropic,59.0,36.67,0.25,1.25,5.98,143.0,66.42,0.35,200000.0,19.35,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.001225
55,Gemini-1.5-Pro,Google,72.0,80.0,1.25,5.0,40.17,76.0,17.52,0.84,1000000.0,100.0,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.001618
56,Gemini-1.5-Flash,Google,63.0,50.0,0.075,0.3,0.0,189.0,100.0,0.29,1000000.0,100.0,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.002010
57,Llama-3.1-405B,Meta,74.0,86.67,3.0,3.0,100.0,52.0,0.0,1.2,128000.0,12.1,MIT,ArtificialAnalysis,2026-03-28 11:59:33.002417
58,Llama-3.1-70B,Meta,65.0,56.67,0.88,0.88,27.52,98.0,33.58,0.54,128000.0,12.1,MIT,ArtificialAnalysis,2026-03-28 11:59:33.002789
59,Llama-3.1-8B,Meta,52.0,13.33,0.18,0.18,3.59,156.0,75.91,0.31,128000.0,12.1,MIT,ArtificialAnalysis,2026-03-28 11:59:33.003156
60,Mistral-Large-2,Mistral,70.0,73.33,3.0,9.0,100.0,79.0,19.71,0.65,128000.0,12.1,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.003520
61,Mistral-7B,Mistral,48.0,0.0,0.25,0.25,5.98,167.0,83.94,0.28,32000.0,2.42,Apache,ArtificialAnalysis,2026-03-28 11:59:33.003907
62,Qwen2-72B,Alibaba,68.0,66.67,0.9,0.9,28.21,88.0,26.28,0.58,128000.0,12.1,Apache,ArtificialAnalysis,2026-03-28 11:59:33.004271
63,DeepSeek-V2,DeepSeek,69.0,70.0,0.14,0.28,2.22,95.0,31.39,0.61,128000.0,12.1,Proprietary,ArtificialAnalysis,2026-03-28 11:59:33.004621
64,Gemma-2-27B,Google,62.0,46.67,0.8,0.8,24.79,112.0,43.8,0.42,8000.0,0.0,Apache,ArtificialAnalysis,2026-03-28 11:59:33.004961
65,Phi-3-Medium,Microsoft,58.0,33.33,0.17,0.17,3.25,134.0,59.85,0.38,128000.0,12.1,MIT,ArtificialAnalysis,2026-03-28 11:59:33.005273
